Message,Likes,Comments
Rammstein ,0,0
"Ghost, System of a Down, Avatar, Enter Shikari, Fever 333, Billy Talent, Anti Flag, Itchy, Donots, Die rzte, Airbourne, Nine Inch Nails, Hatebreed ",2,1
Awake The Dreamer,1,0
Queensryche,0,0
Traveller,0,0
Korn   Caliban   Gojira  ,1,0
"korn, rammstein, deftones, attila, i see stars, architects, drowning pool, system of a down,meshuggah, parkway drive, jinjer arch enemy",0,0
"Tenacouius D 
Die rzte
Skillet
Disturbed 
J.B.O
Knorkator",2,0
AVIANA,1,0
FEVER 333,5,0
"Zsk,feine sahne fischfilet,wizo,slime, stiff little fingers , tv smith , talco, ska-p , chaos uk , fonduekotze, alarmsignal , turbobier",1,1
I Prevail,3,0
Avenged sevenfold,0,0
"Hatebreed
Hellyeah",0,0
DEFENDER,4,1
Enter shikari,0,0
Bhse onkelz. Korn.   Rammstein. TuXedoo wielander. Nightwish. Greenday,2,0
Red Hot Chilli Pepper,0,0
Robin Hfliger hahaha jooo ,0,0
"RAMMSTEIN    
und BREAKING BENJAMIN Biteeee ",6,0
"FFDP, InFlames, Helloween, ParkwayDrive, MachineHead, Tool, Alice in Chains, Billy Talent, Disturbed",2,0
freiwild und five finger death punch ,0,0
Agregia   ,0,0
Psychopunch,0,0
"I prevail , green day",0,0
"betontod
rzte
amorphis
dream theater",2,0
Parkeay drive ,0,0
"Knorkartor,Nine Inch Nails.....und Knppel",0,0
Wolfmother ,5,0
"I Prevail
The Plot In You
For Today
Our Last Night
Architects",0,0
Artefuckt,0,0
"Flogging Molly, Foo Fighters, Tenacious D, I Prevail",5,0
"Bhse Onkelz, Excelsis, Pretty Maids",1,0
Rammstein rammstein rammstein,1,0
Bad Religion,0,0
Rammstein,1,0
"Die rzte 
Black Stone Cherry
Nine Inch Nails
Anathema
Wolfmother
Green Day
Royal Blood
Rammstein
Disturbed
Matt Boroff
Stone Sour
Royal Republic",0,0
"Rammstein, Sum 41, marilyn manson , limp bizkit",1,2
"Rammstein
Vale tudo
Terror
The Busters 
Floggin Molly
Tesa
Deeznuts
Talco
Und natrlich Rammstein ",15,2
Catalyst,2,0
Abandoned By Bears,1,0
"Iron Maiden, Rammstein, Frei Wild, Alestorm, Nightwish, In Extremo, Five Finger Death Punch, Slayer, Anthrax",1,0
Justin bieber,0,1
"Ramstein,bse onkelz,rzte
Slioknot.",0,0
"Rammstein
Volbeat
Billy Talent
Bury Tomorrow
Bring me the Horizon
Architects
Bullet for my Valentine",4,0
"Volbeat, In Flames, Children of Bodom, Alcest, Anathema, Alter Bridge, Parkway Drive, Five Finger Death Punch, Slash, Karnivool ",0,0
Why Everyone Left,1,0
Gojira,0,0
Volbeat,0,0
"Five finger death punch, avenged sevenfold",1,2
"Gates of Ivory
The HU
Awolnation
Arch Enemy
ORDEN OGAN
Patty Gurdy
Stormseeker",0,0
The Sunday Sadness,0,0
"architects, motionless in white, carnifex, attila, hollywood undead, traitors, as it is,",0,0
"Foo Fighters
rzte
Broilers
Rise Against
Deftones
Korn",0,0
"Kapitan korsakov
Tool
Ratm
Soad
Sleep
Deftones
Elder
Qotsa
Dax riggs
Neurosis
Metz
The devil and the almighty blues",0,0
"Vollbeat, rzte, foofighters, Bring me the Horizon,bullet for my Valentine, blink 182",5,1
Back Garden Light,0,0
Steven Wilson,0,0
"Gojira 
Stone Sour 
Skindred 
Avatar 
Ghost 
Hatebreed 
Korn 
Operation Blockhead",4,0
Ambofro,1,0
"Shinedown, rammstein, die toten hosen, slipknot, rzte, parkeay driver",0,0
Rammstein   Tenacious D   Die rzte   Skindred   Korn   Billy Talent   Mudvayne   Marilyn Manson   System of a Down   Queens of the Stone Age   Five Finger Death Punch   Deftones   Foo Fighters   Zeal & Ardor   Staind   Hed PE   Limp Bizkit,2,0
"System of a down
Disturbed 
Korn
Dragonforce
Floggin Molly
SLOP ",0,0
Backed ,1,0
Bhse onkelz,1,0
Imminence,2,0
"Queens of the stone age, eisregen, system of a down, dimmu borgir",0,0
Rammstein,2,0
Broilers,0,0
"System of a Down, Five Finger Death Punch, Slipknot, A Day to Remember, Bullet for my Valentine, Volbeat, Marilyn Manson",0,0
The Interrupters,1,1
"DIE RZTE   ,Rise Against, Donots, Asking Alexandria, Parkway Drive, Black Keys, A7X, Ghost, Three Days Grace, Tenacious D, Rob Zombie, K.I.Z. ",1,0
THE PLOT IN YOU,1,0
Angry Again,9,0
"Metallica, Guns N' Roses, Volbeat",0,0
"Rammstein, August burns red, PAIN, Stone sour, Rob zombie, Apocalyptica, Billy idol, Maiden, Scars on Broadway",0,0
They are 68,0,0
Arnaud Mermod und Our Last Night ,0,0
"Ensiferum, Alter Bridge, Black Stone Cherry",1,0
Franktus,0,0
Tchel,0,0
"Architects
Bring me the horizon
Port of Call
Plot in you
Crystal lake
Thorn
Save your last breath
Make them suffer",26,0
Irony Of Fate,6,0
With One Word,2,0
"Korn, System of a Down, Disturbed, Godsmack, Tenacious D, Seether, Ozzy Osbourne, Black Sabbath, Chevelle, Rammstein, The Offspring, Buckethead",2,0
Debora Monika Hauser aber d Line up's verfolgsch scho oder ... dasjahr wre 4 vo dine gnannte gad da gsi ,0,0
Wage War,2,0
Und tausend Lwen unter Feinden,1,0
"Metallica
VolBeat
Avanged Sevenfold
Gojira
Stone Sour
Airbourne
Parkway Drive
Soil
Bhse Onkelz
Five Finger Death Punch
KoRn
Limp Bizkit
Bad Religion
Alter Bridge
Disturbed
Rob Zombie
Three Days Grace
Shambolic Shrinks",0,0
"rzte, A Day to Remember, Betraying the Martyts, Wage Ware, Korn, Save Your Last Breath, Caliban, Feed Her To The Sharks, Ska-P, Rage Against The Machine, Thy Art Is Murder, August Burns Red, Ice Nine Kills, Mindcollisian.",1,2
Crystal Lake,5,0
Michael Stapfer ... Slayer gits denn nmme so zur Info ,0,0
"Volbeat
Killswitch engage
Clutch
Prophets of rage",0,0
"In Extremo
Volbeat
Floggin Molly
Talco
Die Toten Hosen
Dropkick Murphys",0,0
"Metallica, iron maiden, ozzy, Judas Prist",1,1
Among Vultures,2,0
"Parkway Drive, Ghost und Steel Panther",1,1
Fabian Boos for today is disbanded since 3 years :(,1,0
"rammstein, rzte, slime, flogging molly, gogol bordello",1,0
Mad Sox,0,0
"The Black Keys
Arctic Monkeys
Larkin Poe
Honey Honey
Thrice
Black Stone Cherry
",0,0
Guns N'Roses,0,0
Unearth,1,0
"metallica, rammstein, volbeat, die rzte, billy talent, bloodhoud gang",0,0
Rob zombie,0,0
"Fabio Bolfing
Kira Birrer",1,0
Megadeth,0,0
"Die rzte
Rammstein",3,1
"Rammstein, Sum 41, bse onkelz, rtze, Frei Wild,",3,0
Yesssss,0,0
Tenacious D ,6,0
Manowar - Eskimo Callboy - Heart of a coward,0,0
"machine head, judas priest, ghost, benediction, die apokalyptischen reiter, babymetal, nile, septicflesh, deftones",2,0
"Rise against, ramstein, money for rope",0,5
Rammstein,2,0
"Billy Talent
Ghost
Rammstein
Ost+Front
Foofighters
In Flames
Dark Tranquility
Parkway drive 
Hollywood Undead
Korn
Meister Ehder 
Schattenmann",0,0
i privail und the ghost inside wens shu widr konzert gend bis den,2,0
"Gojira
Jinger

Aber das werde ich wohl nie erleben, das sind schlielich gute Metal Bands 

Aber Ma im Ernst, holt die mal nach Interlaken",0,0
Metallica,0,0
Patrick Hofmann wieso ha nt krt ,0,0
"Rammstein 
Frei.Wild",0,0
"Fever 333
Code Orange
Deftones
Soulfly
Turnstile",0,1
