Comment Id,Date / Time,From Id,From,Message,Likes,Comments
10157361185413044_10157361193853044,2019-06-24 12:20:25,,,SUICIDAL TENDENCIES !!!,0,0
10157361185413044_10157361193868044,2019-06-24 12:20:26,,,Fire Rose,2,0
10157361185413044_10157361193878044,2019-06-24 12:20:26,,,Excelsis,12,0
10157361185413044_10157361193918044,2019-06-24 12:20:27,,,Tenacious D,2,0
10157361185413044_10157361194073044,2019-06-24 12:20:33,,,"Rammstein, guns n' roses,  avenged sevenfold, SOAD,  Dead by april, korn etc...",1,0
10157361185413044_10157361194083044,2019-06-24 12:20:34,,,"All Time Low, Holding Absence, Waterparks, As It Is, Yungblud, Sink or Swim, All To Get Her, ... 😊",3,0
10157361185413044_10157361194088044,2019-06-24 12:20:34,,,The Meseeks,8,0
10157361185413044_10157361194123044,2019-06-24 12:20:36,,,Du machst es uns aber einfach dich zu finden Michel Menzi.,1,0
10157361185413044_10157361194258044,2019-06-24 12:20:43,,,Rammstein,3,0
10157361185413044_10157361194298044,2019-06-24 12:20:45,,,"System of a down
Korn
Scars on broadway",48,0
10157361185413044_10157361194308044,2019-06-24 12:20:45,,,System Of A Down,0,0
10157361185413044_10157361194443044,2019-06-24 12:20:54,,,"Was noch nicht da war:
The Royal, I Prevail, Starset, Slaves, Volumes, SHVPES, Palisades, Shrezzers, Imminence, Alazka, Bad Omens, Fever 333, To The Rats And Wolves, The Word Alive, Too Close To Touch, Crystal Lake, Nothing More, Crown The Empire, Crossfaith, I See Stars, Motionless In White, Dream On Dreamer (werde die Liste noch updaten)",17,4
10157361185413044_10157361194478044,2019-06-24 12:20:56,,,System OF A Down  !,1,0
10157361185413044_10157361194483044,2019-06-24 12:20:56,,,JESTERS QUEST!!! ❤️❤️❤️❤️,1,1
10157361185413044_10157361194663044,2019-06-24 12:21:02,,,"Rammstein, Volbeat, Five fingers death Punch, Combichrist, Frei Wild, Hatebreed",1,0
10157361185413044_10157361194683044,2019-06-24 12:21:03,,,"Sondaschule, feine sahnecfischfilet, in extremo, rammstein, system of a down, die ärzte, metallica, me first and the gimmes gimmes",5,0
10157361185413044_10157361194698044,2019-06-24 12:21:03,,,Megadeth,0,0
